ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
FR2481,borné,ADJ,[no_synset],[no_synset_lemma],Qui fait preuve d'intolérance.,lr,Votre posture de petit instituteur	borné	à l'esprit de courtaud de boutique est vraiment pitoyable.,se,,,,,,,,
FR3254,bouffer,VERB,Synset('omw-iwn-01170824-v'),"['bouffer', 'lamper', 'siffler_du_vin']",Avaler gloutonnement. Au figuré : Dépenser rapidement.,lr,j'y voyais plus rien j'ai faillit	bouffer	le trottoir !!,se,,,,,,,,
FR2035,bouffon,NOUN,Synset('omw-iwn-09931165-n'),"['arlequin', 'baladin', 'bouffon', 'clown']",Un idiot grossier ou vulgaire,own,Je suis vraiment dégoûté par ces	bouffons	de l'Élysée qui ne représentent qu'eux-même...,se,,,,,,,,
FR1651,boule,NOUN,[no_synset],[no_synset_lemma],Testicules.,lr,"Il n’a pas les boules de dire la vérité en face, comme toujours.",gen_AI,,,,,,,,
FR1651,boule,NOUN,[no_synset],[no_synset_lemma],Tête.,lr,Coup de boule.,lr,,,,,,,,
FR1651,boule,NOUN,[no_synset],[no_synset_lemma],"être en colère, énervé ou anxieux.",lr,Ça me fout les boules !,lr,,,,,,,,
FR3787,boulot,NOUN,[no_synset],[no_synset_lemma],Travail.,lr,Je suis coincé dans ce boulot de merde qui ne mène nulle part.,gen_AI,,,,,,,,
FR2741,cabinet,NOUN,Synset('omw-iwn-04446276-n'),"['cabinet', 'petit_coin', 'salle_de_bains', 'toilette', 'toilettes']",une pièce ou un bâtiment équipé d’une ou de plusieurs toilettes,own,"Ce restaurant est déjà douteux, et leurs cabinets sont carrément dégoûtants.",gen_AI,,,,,,,,
FR745,chantage,NOUN,Synset('omw-iwn-00784598-n'),['chantage'],Action d'extorquer à qqn de l'argent ou un avantage sous la menace d'une révélation compromettante.,lr,"Il ne propose jamais rien honnêtement, c’est toujours du chantage déguisé pour obtenir ce qu’il veut.",gen_AI,,,,,,,,
FR597,chaos,NOUN,Synset('omw-iwn-00554107-n'),"['bagarre', 'chaos', 'clairière', 'havoc']",perturbation violente et inutile,own,"Après son discours, ce fut le chaos total dans la salle, entre cris et insultes.",gen_AI,,,,,,,,
FR597,chaos,NOUN,Synset('omw-iwn-14500047-n'),"['chaos', 'confusion']",un état de confusion et de désordre,own,"Son bureau est un chaos permanent, impossible d’y retrouver quoi que ce soit.",gen_AI,,,,,,,,
FR624,chasseur,NOUN,Synset('omw-iwn-10193719-n'),['chasseur'],une personne qui cherche quelque chose,own,"Ce type, c’est juste un chasseur d’opportunités, prêt à tout pour grimper socialement.",gen_AI,,,,,,,,
FR1546,chatte,NOUN,Synset('omw-iwn-05521514-n',"['chatte', 'con', 'connard', 'minou']",Parties sexuelles de la femme.,lr,"Il ne pense qu’à la chatte, incapable d’avoir une conversation sérieuse.",gen_AI,,,,,,,,
FR3709,chaud,ADJ,Synset('omw-iwn-01256332-a'),"['ardent', 'brûlant', 'chaud']","des significations étendues; surtout de chaleur psychologique; marquée par l’intensité ou la véhémence, en particulier de passion ou d’enthousiasme",own,"Il a encore lancé un débat chaud juste pour foutre la pagaille.
",gen_AI,,,,,,,,
FR3709,chaud,ADJ,[no_synset],[no_synset_lemma],au sens de sensuel,lr,Un chaud lapin.,lr,,,,,,,,
FR477,chien,NOUN,Synset('omw-iwn-09886220-n'),"['achille', 'chien', 'quignon', 'talon']",quelqu’un qui est moralement répréhensible,own,"Ce type est un vrai chien, il trahit tous ceux qui lui font confiance.",gen_AI,,,,,,,,
FR1091,chienne,NOUN,[no_synset],[no_synset_lemma],Femme détestable ; spécialement femme lubrique.,lr,Il l’a traitée de chienne parce qu’elle ne faisait que manipuler les gens pour arriver à ses fins.,gen_AI,,,,,,,,
FR1146,cirque,NOUN,[no_synset],[no_synset_lemma],Activité désordonnée.,lr,Qu'est-ce que c'est que ce cirque ?,lr,,,,,,,,
FR374,claque,NOUN,[no_synset],[no_synset_lemma],Coup donné avec le plat de la main.,lr,Une claque sur la joue.,lr,,,,,,,,
FR374,claque,NOUN,[no_synset],[no_synset_lemma],"Surprise, choc. ",lr,"Quelle claque, ce film !",lr,,,,,,,,
FR374,claque,NOUN,[no_synset],[no_synset_lemma],"subir un affront, un échec cuisant.",lr,J’ai pris une sacrée claque.,lr,,,,,,,,
FR1021,clique,NOUN,[no_synset],[no_synset_lemma],Groupe de personnes peu estimables.,lr,Cette clique de profiteurs ne pense qu’à se remplir les poches aux dépens des autres.,gen_AI,,,,,,,,
FR963,clochard,NOUN,Synset('omw-iwn-10723300-n'),"['clochard', 'clodo', 'hobo', 'saisonnier', 'sans-abri', 'vagabond']","Personne socialement inadaptée, qui vit sans travail ni domicile, dans les grandes villes.",lr,"Arrête de traîner comme un clochard, tu donnes l’impression d’avoir tout abandonné.",gen_AI,,,,,,,,
FR2450,clown,NOUN,Synset('omw-iwn-09931165-n'),"['arlequin', 'baladin', 'bouffon', 'clown']",Un idiot grossier ou vulgaire,own,"Avec ses remarques stupides et son comportement déplacé, il passe pour un vrai clown.",gen_AI,,,,,,,,
FR2691,colère,NOUN,Synset('omw-iwn-00758972-n'),"['col', 'colère', 'fureur', 'ira', 'ire']",la belligérance suscitée par un réel ou supposé mal (personnifié comme l’un des péchés capitaux),own,Il est contrôlé par sa colère comme un démon incapable de raison.,gen_AI,,,,,,,,
FR2691,colère,NOUN,Synset('omw-iwn-07516354-n'),"['colère', 'ire']",une forte émotion ; un sentiment orienté vers un grief réel ou supposé,own,Sa colère ridicule pour un simple retard montre à quel point il est instable.,gen_AI,,,,,,,,
FR3959,complotisme,NOUN,[no_synset],[no_synset_lemma],Idéologie des complotistes.,lr,"Son complotisme l’éloigne de toute réalité, il voit des manipulations partout.",gen_AI,,,,,,,,
FR266,con,NOUN,Synset('omw-iwn-10197525-n'),"['abruti', 'attardé', 'bêta', 'con', 'concombre', 'connard', 'crétin', 'idiot', 'imbécile', 'retard', 'tête_de_nœud']",une personne d’intelligence subnormale,own,"Ce con ne comprend jamais rien, même quand on lui explique dix fois.",gen_AI,,,,,,,,
FR266,con,NOUN,Synset('omw-iwn-09982873-n'),"['chipie', 'con', 'connard', 'garce']",une personne (généralement mais pas nécessairement une femme) qui n'est pas du tout appréciée,own,"Cette conne fait toujours tout pour attirer l’attention, c’en est insupportable.",gen_AI,,,,,,,,
FR266,con,NOUN,Synset('omw-iwn-10358794-n'),"['abruti', 'benêt', 'cloche', 'con', 'connard', 'cornichon', 'crétin', 'dadais', 'demeuré', 'débile', 'gourde', 'imbécile', 'mal_cuit', 'niais', 'nigaud', 'poupe', 'ravi', 'simplet', 'sot']",une personne stupide et idiote,own,T’as vraiment été con de croire à cette arnaque aussi évidente.,gen_AI,,,,,,,,
FR265,connard,NOUN,Synset('omw-iwn-09815188-n'),"['bâtard', 'connard', 'enculé', 'fils_de_putain', 'fils_de_pute', 'gland', 'putain', 'saloperie', 'tête_de_vier']","insultes à l’adresse pour les gens qui sont stupides, irritants ou ridicules",own,"Ce connard se croit drôle, mais il ne fait que déranger tout le monde.",gen_AI,,,,,,,,
FR265,connard,NOUN,Synset('omw-iwn-10197525-n'),"['abruti', 'attardé', 'bêta', 'con', 'concombre', 'connard', 'crétin', 'idiot', 'imbécile', 'retard', 'tête_de_nœud']",une personne d’intelligence subnormale,own,T’es vraiment un connard à ne pas avoir vu que c’était un piège évident.,gen_AI,,,,,,,,
FR265,connard,NOUN,Synset('omw-iwn-09982873-n'),"['chipie', 'con', 'connard', 'garce']",une personne (généralement mais pas nécessairement une femme) qui n'est pas du tout appréciée,own,T’es vraiment un connard à ne pas avoir vu que c’était un piège évident.,gen_AI,,,,,,,,
FR265,connard,NOUN,Synset('omw-iwn-10358794-n'),"['abruti', 'benêt', 'cloche', 'con', 'connard', 'cornichon', 'crétin', 'dadais', 'demeuré', 'débile', 'gourde', 'imbécile', 'mal_cuit', 'niais', 'nigaud', 'poupe', 'ravi', 'simplet', 'sot']",une personne stupide et idiote,own,"Il agit encore comme un connard, incapable de réfléchir avant de parler.",gen_AI,,,,,,,,
FR1475,conne,NOUN,Synset('omw-iwn-10717196-n'),"['branleur', 'con', 'conard', 'conarde', 'conasse', 'connard', 'connarde', 'connasse', 'conne', 'enculé']","Imbécile, idiot.",lr,C'est une conne.,lr,,,,,,,,
FR1566,connerie,NOUN,[no_synset],[no_synset_lemma],"Imbécillité, absurdité.",lr,"Arrête de dire des conneries, tu rends la situation encore plus ridicule.",gen_AI,,,,,,,,
FR2259,coucher,VERB,[no_synset],[no_synset_lemma],"Coucher avec qqn, partager son lit ; avoir des relations sexuelles avec lui, elle",lr,"Elle a couché avec le patron juste pour obtenir une promotion, c’est pathétique.",gen_AI,,,,,,,,
FR396,couille,NOUN,Synset('omw-iwn-05524615-n'),"['Testicule', 'couille', 'fou', 'gosse', 'testicule', 'testicules', 'œuf']",Testicules.,lr,"Il n’a pas de couilles, toujours à fuir quand il faut affronter les choses.",gen_AI,,,,,,,,
FR396,couille,NOUN,[no_synset],[no_synset_lemma],"une erreur, un ennui.",lr,"On a encore une couille dans le système, tout est bloqué.",gen_AI,,,,,,,,
FR3287,crever,VERB,Synset('omw-iwn-00358431-v'),"['casser_sa_pipe', 'cogner', 'crever', ""passer_l'arme_à_gauche""]",passer de la vie physique et perdre tous les attributs corporels et les fonctions nécessaires pour soutenir la vie,own,"Qu’il crève, ce salaud, après tout le mal qu’il a fait.
",gen_AI,,,,,,,,
FR3287,crever,VERB,[no_synset],[no_synset_lemma],"Exténuer (un animal, une personne) par un effort excessif.",lr,"Ils nous font crever au boulot pour trois fois rien, c’est de l’abus pur et simple.",gen_AI,,,,,,,,
FR1667,crime,NOUN,Synset('omw-iwn-00767477-n'),"['crime', 'criminel', 'délit']",un acte malveillant qui n’est pas nécessairement punissable par la loi,own,"Ce qu’ils ont fait à ce vieil homme est un crime contre l’humanité, même si la justice ne les poursuit pas.",gen_AI,,,,,,,,
FR1667,crime,NOUN,[no_synset],[no_synset_lemma],Action blâmable.,lr,"Faire chanter un enfant pour un jeu stupide, c’est presque un crime de conscience.",gen_AI,,,,,,,,
FR670,criminel,NOUN,Synset('omw-iwn-00767477-n'),"['crime', 'criminel', 'délit']",un acte malveillant qui n’est pas nécessairement punissable par la loi,own,Ce politicien est un criminel moral : il détruit des vies sans jamais rendre de comptes.,gen_AI,,,,,,,,
FR670,criminel,NOUN,[no_synset],[no_synset_lemma],Très regrettable.,lr,C’est criminel de gaspiller autant de ressources pour un projet aussi inutile.,gen_AI,,,,,,,,
FR320,cul,NOUN,Synset('omw-iwn-00747215-n'),"['cul', 'porno', 'pornographie', 'érotisme']","activité créative (écriture, images, films, etc.) n’ayant aucune valeur littéraire ou artistique si ce n’est pour stimuler le désir sexuel",own,"Ce film n’est qu’un ramassis de scènes de cul, sans aucun scénario.",gen_AI,,,,,,,,
FR320,cul,NOUN,Synset('omw-iwn-05538215-n'),"['anus', 'con', 'connard', 'cul', 'derrière', 'enculé', 'trou_du_cul']",argot vulgaire pour désigner l'anus,lr,Ferme ton cul au lieu de raconter des conneries à longueur de journée.,gen_AI,,,,,,,,
FR320,cul,NOUN,Synset('omw-iwn-05559256-n'),"['cul', 'derrière', 'fesses', 'postérieur']",la partie charnue du corps humain sur laquelle on s'assoit,lr,ça fais mal au	cul,se,,,,,,,,
FR513,débile,NOUN,Synset('omw-iwn-10358794-n'),"['abruti', 'benêt', 'cloche', 'con', 'connard', 'cornichon', 'crétin', 'dadais', 'demeuré', 'débile', 'gourde', 'imbécile', 'mal_cuit', 'niais', 'nigaud', 'poupe', 'ravi', 'simplet', 'sot']",Personne sans intelligence.,lr,"C'est assez chaud, il y a de l'humour débile",se,,,,,,,,
FR1412,déchets,NOUN,[no_synset],[no_synset_lemma],"Personne déchue, méprisable.",lr,"Ce gang est composé de déchets de la société, sans foi ni loi.",gen_AI,,,,,,,,
FR2802,délinquants,NOUN,[no_synset],[no_synset_lemma],Personne qui commet un délit.,lr,"Ces délinquants ne respectent rien ni personne, même pas la moindre règle de vivre ensemble.",gen_AI,,,,,,,,
FR1673,délit,NOUN,Synset('omw-iwn-00767477-n'),"['crime', 'criminel', 'délit']",un acte malveillant qui n’est pas nécessairement punissable par la loi,own,"Mentir ainsi en public, c’est peut-être pas illégal, mais c’est un vrai délit moral.",gen_AI,,,,,,,,
FR519,demeuré,NOUN,Synset('omw-iwn-10358794-n'),"['abruti', 'benêt', 'cloche', 'con', 'connard', 'cornichon', 'crétin', 'dadais', 'demeuré', 'débile', 'gourde', 'imbécile', 'mal_cuit', 'niais', 'nigaud', 'poupe', 'ravi', 'simplet', 'sot']",une personne stupide et stupide,own,Ce demeuré est incapable de suivre une conversation sans dire une absurdité.,gen_AI,,,,,,,,
FR1756,derrière,NOUN,[no_synset],[no_synset_lemma],Fesses.,lr,Il passe sa journée affalé sur son derrière à ne rien foutre.,gen_AI,,,,,,,,
FR1218,diable,NOUN,[no_synset],[no_synset_lemma],"Envoyer qqn au diable, le renvoyer, le rabrouer avec colère ou impatience.",lr,Allez au diable !,lr,,,,,,,,
FR226,diffamation,NOUN,Synset('omw-iwn-01220336-n'),"['calomnie', 'diffamation', 'dénigrement']",une atteinte abusive à la personnalité ou à la réputation,own,"Accuser sans preuve, c’est de la pure diffamation destinée à salir une réputation.",gen_AI,,,,,,,,
FR3700,difficile,ADJ,Synset('omw-iwn-02448437-a'),['difficile'],pas donné à la douceur ou de la sentimentalité,own,Il est tellement difficile qu’il est incapable de montrer le moindre signe d’empathie.,gen_AI,,,,,,,,
FR1223,difficulté,NOUN,Synset('omw-iwn-07289014-n'),"['difficulté', 'problème']",un événement causant de la détresse ou de la douleur,own,Il transforme chaque petit contretemps en grande difficulté comme s’il cherchait à se faire plaindre.,gen_AI,,,,,,,,
FR1327,drôle,NOUN,[no_synset],[no_synset_lemma],"Personne qui a conservé dans l'âge adulte des sentiments, des traits propres à l'enfance.",lr,"Ce drôle ne sait toujours pas se comporter comme un adulte, même à son âge.",gen_AI,,,,,,,,
FR1222,emmerde,NOUN,Synset('omw-iwn-05687338-n'),"['difficulté', 'emmerde', 'problème']",une source de difficultés,own,"Vas-y dégage, je t'emmerde !",se,,,,,,,,
FR284,enculé,NOUN,Synset('omw-iwn-09815188-n'),"['bâtard', 'connard', 'enculé', 'fils_de_putain', 'fils_de_pute', 'gland', 'putain', 'saloperie', 'tête_de_vier']","insultes à l’adresse pour les gens qui sont stupides, irritants ou ridicules",own,Ce sale enculé m’a volé mon idée et s’en vante comme si c’était la sienne.,gen_AI,,,,,,,,
FR284,enculé,NOUN,Synset('omw-iwn-10039663-n'),"['bonehead', 'buche', 'bûche', 'bœuf', 'cancre', 'enculé', 'enfoiré', 'imbécile', 'nullard']",une personne stupide ; ces mots sont utilisés pour exprimer une mauvaise opinion de l'intelligence de quelqu'un,own,L’enculé a encore planté le système en bidouillant sans savoir ce qu’il faisait.,gen_AI,,,,,,,,
FR284,enculé,NOUN,[no_synset],[no_synset_lemma],Personne qui se fait sodomiser.,lr,"Ils l'ont traité d’enculé pour l’humilier, sans aucun respect ni retenue.",gen_AI,,,,,,,,
FR2253,enculer,VERB,Synset('omw-iwn-01426397-v'),"['aimer', 'avoir', 'avoir_des_relations_sexuelles', 'baiser', 'bien', 'connaître', 'enconner', 'enculer', ""faire_l'amour"", 'fourrer', 'foutre', 'niquer', 'savoir']","Avoir des relations sexuelles, s'accoupler.",lr,Que le royaume de France enfin tombe en quenouille Qu'on coure aller s'faire enculer ?,gen_AI,,,,,,,,
FR3483,enfant,NOUN,Synset('omw-iwn-09918554-n'),"['bébé', 'enfant', 'môme', 'petit']",une personne enfantine immature,own,"Arrête de réagir comme un enfant, on parle de choses sérieuses ici.",gen_AI,,,,,,,,
FR2680,envier,VERB,Synset('omw-iwn-01827064-v'),"['envie', 'envier']",être jaloux de; mettre son cœur sur,own,Il passe son temps à envier les autres au lieu de se bouger pour réussir par lui-même.,gen_AI,,,,,,,,
FR1923,face,NOUN,Synset('omw-iwn-06877578-n'),"['face', 'grimace', 'visage']",une expression faciale tordue,own,"Arrête de faire cette face, on dirait que tu viens de sucer un citron moisi.",gen_AI,,,,,,,,
FR3392,fâché,ADJ,[no_synset],[no_synset_lemma],Être fâché contre qqn.,lr,Elle est fâchée avec l'orthographe.,lr,,,,,,,,
FR1985,facho,NOUN,[no_synset],[no_synset_lemma],Fasciste.,lr,"Salut le facho , je t'ai entendu dire à ton OS [officier de sécurité, ndlr] que tu allais me faire ""sauter""",se,,,,,,,,
