hurtlex_ID,lemma,POS,ERIS_score,definition_category,definition_el,definition_en,synonyms_el,synonyms_en,examples,aikia_offensive_score,hurtlex_category
EL2258,αδηφάγος,ADJ,0.69,Person,Άνθρωπος που τρώει υπερβολικά και λαίμαργα,person who eats excessively and greedily,"['λαιμάργος', 'φαγάς', 'καταβροχθιστής']","['glutton', 'voracious eater', 'hog']",Δεν άντεξαν άλλο οι αχυρόμπαλες και τρέχουν να ξεφύγουν από τα αδηφάγα γιδοψηφοφόρια Μπεεεεε ???????????????????? #τι_ψηφισατε_ρε_γιδοψηφοφοροι #ΝΔ_ΑΠΑΤΕΩΝΕΣ #ΝΔ_ΠΡΟΔΟΤΕΣ #θα_τα_πούμε_στην_καλπη???? #λαθρομεταναστες #λαθροεισβολεις #ξέφραγο_αμπέλι #Αντικατασταση_Πληθυσμων #απελασεις_τωρα,0.93,svp
EL2258,αδηφάγος,ADJ,0.69,Behavioral Trait,"Ιδιότητα οργανισμών ή αφηρημένων οντοτήτων που απορροφούν πόρους αδιάκοπα, προκαλώντας φθορά ή κοινωνική ζημιά.",rapacious : entity consuming resources insatiably,"['αρπακτικός', 'ανεξέλεγκτα άπληστος', 'αχόρταγος']","['rapacious', 'predatory', 'insatiable', 'devouring']",«Το αδηφάγο τέρας της γραφειοκρατίας.»,,svp
EL1378,αδιάκριτος,ADJ,0.46,Person,"Άτομο που εισβάλλει σε ξένες υποθέσεις και ρωτά ό,τι δεν το αφορά",person who pries into matters that are not his,"['περίεργος', 'παρεμβατικός', 'κουτσομπόλης']","['nosy', 'prying', 'meddlesome', 'intrusive']",username δεν είμαι τόσο αδιακριτη...:),0.4,qas
EL1378,αδιάκριτος,ADJ,0.46,Behavioral Trait,"Ερώτηση, βλέμμα ή επίσκεψη που παραβιάζει προσωπικά όρια και θεωρείται αγενής στον δημόσιο ή οικογενειακό λόγο",intrusive : remark or act invading someone’s privacy,"['παρεμβατικός', 'ενοχλητικός', 'άκομψος', 'αμήχανος']","['intrusive', 'prying', 'personal', 'impertinent']","Ποτε θα σταματησετε να ρωτατε (αδιακριτα) ζευγαρια ""ποτε θα κανετε παιδια, τι περιμενετε?""... Καποιους τους πληγωνετε πολυ!!",0.46,qas
EL1378,αδιάκριτος,ADJ,0.46,Behavioral Trait,"Δράση ή επίθεση που πλήττει αλόγιστα, χωρίς στόχευση σε στρατιωτικούς στόχους και συχνά καταγγέλλεται ως παραβίαση ανθρωπίνου δικαίο",indiscriminate : action carried out without distinction among targets,"['αλόγιστος', 'τυφλός', 'γενικευμένος', 'ακατάσχετος']","['indiscriminate', 'wholesale', 'blanket', 'random']",Η συλλογή μεταδεδομένων από την NSA είναι πιο αδιάκριτη από τις παραδοσιακές υποκλοπές,0.58,qas
EL1649,αδιαλλαξία,NOUN,0.48,Behavioral_Trait,Σταθερή άρνηση συμβιβασμού ή αποδοχής άλλης άποψης,persistent refusal to compromise,"['ακαμψία', 'στενοκεφαλιά', 'δογματισμός', 'ανελαστικότητα']","['intransigence', 'rigidity', 'dogmatism', 'stubbornness']","«Πολιτική αδιαλλαξίας, πολιτική των άκρων.»",,svp
EL1649,αδιαλλαξία,NOUN,0.48,Event,"Συγκεκριμένες πράξεις άκαμπτης άρνησης, που φανερώνουν πείσμα και οδηγούν σε αδιέξοδο",acts of intransigence : uncompromising deeds,"['πείσματα', 'ακαμψίες', 'εμμονές', 'μισαλλοδοξίες']","['obstinate acts', 'hard-line moves', 'deadlocks', 'stalemates']",Α.Δημητριάδης: «Η απραξία της κυβέρνησης έφερε το Βαρώσι στο πιάτο της αδιαλλαξίας της Τουρκίας»,0.54,svp
EL13,αδιαφορία,NOUN,0.34,State,Στάση ανθρώπου ή φορέα που δεν ανταποκρίνεται σε όσα συμβαίνουν γύρω του και αποφεύγει να αναλάβει οποιαδήποτε ευθύνη,indifference : lack of concern or care,"['απάθεια', 'νιρβάνα', 'ψυχρότητα', 'ανενδοίαστη στάση']","['indifference', 'apathy', 'detachment', 'unconcern']","«Θα μου πείτε, επιτέλους, τι σημαίνουν όλα αυτά; Η σιωπή και η αδιαφορία μου της έχουν σπάσει τα νεύρα και φωνάζει.",0.4,svp
EL1047,αδίκημα,NOUN,0.43,Event,Πράξη που παραβιάζει τον νόμο και επισύρει ποινή,act that breaches the law and is punishable,"['παράβαση', 'έγκλημα', 'αξιόποινη πράξη', 'παρανομία']","['offense', 'crime', 'violation', 'unlawful act']",username Πες μα ρε ερευνητικέ δημοσιοκαφρε για ποια αδικήματα τον καταζητούσε η Ιντερπόλ.,0.76,cds
EL1165,αδικοπραξία,NOUN,0.52,Event,παράνομη ενέργεια που προκαλεί ζημιά σε άλλον,wrongful act causing harm to another,"['αδίκημα', 'παρανομία', 'παρέκκλιση']","['offense', 'misconduct', 'tort']",«…η αδικοπραξία του οδηγού του ζημιογόνου οχήματος εξακολούθησε να έχει γι’ αυτόν επιζήμιες συνέπειες…»,,re
EL1215,αδράνεια,NOUN,0.16,State,κατάσταση έλλειψης δράσης ή αντίδρασης,state of inactivity or lack of response,"['απραξία', 'νάρκη', 'ακινησία', 'ραθυμία']","['inertia', 'idleness', 'stillness', 'apathy']",Δεν υπάρχει τίποτα χειρότερο από την αδράνεια της αναμονής όταν ασχολείσαι με μια υπόθεση.,0.23,svp
EL1585,αδυσώπητος,ADJ,0.62,Person,"Άτομο χωρίς έλεος που δεν κάνει καμία υποχώρηση, επιδεικνύοντας σκληρότητα απέναντι σε άλλους",ruthless person : merciless and relentless,"['ανελέητος', 'αμείλικτος', 'αμνησικέρδος', 'σκληρός']","['ruthless', 'merciless', 'relentless', 'pitiless']",username εσύ την 'έδωσες στεγνά?' Αδυσώπητος ο τουιτερόκοσμος!...,0.63,an
EL1585,αδυσώπητος,ADJ,0.62,Behavioral_Trait,"Ιδιότητα φαινομένου ή δύναμης που δρα αμείλικτα, χωρίς δυνατότητα αναστολής",relentless force : harsh and unstoppable,"['ανελέητος', 'αμείλικτος', 'αμειδής', 'αδιάλλακτος']","['relentless', 'unrelenting', 'inexorable', 'implacable']",username Η πραγματικότητα είναι αδυσώπητη με η χωρίς μνημόνιο η Ελλάδα θα πρέπει να μηδενίσει το έλλειμμα και να κάνει μεταρρυθμίσεις.,0.42,an
EL1563,αερολόγημα,NOUN,0.44,Event,"Κούφια, αβάσιμη δήλωση χωρίς περιεχόμενο ή αποδείξεις, η οποία εκφέρεται για εντυπωσιασμό",empty statement lacking substance,"['κενόλογο', 'μπούρδα', 'παραμύθι']","['nonsense', 'hot air', 'empty talk']","«…είτε είναι ένα αερολόγημα κενό περιεχομένου είτε κάτι εύστροφο, το Facebook μας έδωσε βήμα να το ποστάρουμε»",,ddp
EL2215,αερολογία,NOUN,0.41,Event,"Λόγος χωρίς αποδείξεις ή ουσία, που εκφέρεται για εντυπωσιασμό και θεωρείται κενός",habitual idle talk without substance,"['φλυαρία', 'παραθεωρία', 'μπούρδες', 'μπλαμπλα']","['blather', 'windbaggery', 'prattle', 'babble']","Slum Dunk μεγαλύτερες αερολογίες απο το τελευταίο δεν έχω δει στη ζωή μου, έλα Χριστέ και Κύριε , αφιέρωσα 3 λεπτά απο τη ζωή μου έτσι ... #paobc #sdna #slumdunk",0.59,pr
EL1071,αηδία,NOUN,0.62,State,έντονο συναίσθημα αποστροφής και αποφοράς,strong feeling of disgust and revulsion,"['αποστροφή', 'απέχθεια', 'σιχασιά', 'βδελυγμία']","['disgust', 'revulsion', 'loathing', 'nausea']","Βγάζω από το συρτάρι μου δυο ασπιρίνες και τις καταπίνω με τον παγωμένο καφέ, που μου φέρνει αηδία.",0.43,svp
EL1071,αηδία,NOUN,0.62,Person,Προσβλητικός χαρακτηρισμός για άτομο που προκαλεί έντονη αποστροφή,disgusting person : someone that evokes revulsion,"['σιχαμάρα', 'αηδιαστικός τύπος', 'βδέλυγμα']","['disgusting person', 'eyesore', 'creep']",Ζηλιαρης μέχρι αηδία! #survivorGR #sixamenios,0.54,svp
EL1071,αηδία,NOUN,0.62,Behavioral_Trait,"Υλικό ή άυλο πράγμα που προκαλεί έντονη αποστροφή ή θεωρείται εξαιρετικά άσχημο από τον ομιλητή, συνήθως σε οικείο-επικριτικό ύφος",disgusting thing : something that evokes revulsion,"['αίσχος', 'σιχαμάρα', 'χάλι', 'βδέλυγμα']","['disgusting thing', 'abomination', 'atrocity', 'gross stuff']",τι αηδιες ειν' αυτες που λες.,0.6,svp
EL1411,αθέμιτος,ADJ,0.51,Behavioral_Trait,χαρακτηρισμός πράξης που παραβιάζει ηθικούς ή νομικούς κανόνες,quality of an act that violates moral or legal rules,"['παράνομος', 'ανήθικος', 'απερίτρεπτος', 'υπόγειος']","['illicit', 'unfair', 'unlawful', 'underhand']",Έγινε τέτοια δημοσκόπηση και δε βρέθηκε ένας πολίτης σ αυτή τη χώρα να μυνησει το κανάλι για προσβολή νεκρού και για αθέμιτη αποκόμμιση κέρδους?,0.47,cds
EL2464,άθλιος,ADJ,0.49,Person,"Άτομο με εξαιρετικά κακή ή ανάλγητη συμπεριφορά, που προκαλεί αποδοκιμασία",derogatory term for someone with very poor quality or morals,"['παλιάνθρωπος', 'ελεεινός', 'κάθαρμα']","['wretched', 'lousy', 'miserable', 'pathetic']",username ίυου ούτε να γράψω το όνομά του του άθλιου,0.62,cds
EL2464,άθλιος,ADJ,0.49,Object,"Πράγμα (φαγητό, έργο, προϊόν) τόσο κακό που γεννά αποστροφή",awful thing,"['χάλι', 'σκουπίδι', 'χρεπάκι']","['lousy stuff', 'trash', 'dud']",Γι' αυτό κρατήστε τις άθλιες απόψεις σας για τον εαυτό σας κι αφήστε τους ανθρώπους να είναι όπως είναι. Και να τους σέβεστε για την ψυχή τους και όχι για το σώμα τους. Όσο χοντρό ή αδύνατο να είναι.,0.54,cds
EL2464,άθλιος,ADJ,0.49,State,"Συνθήκη μεγάλης κακοδαιμονίας ή υποβάθμισης· περιγράφει επίπεδο ζωής, χώρων ή οργανισμών.",miserable state,"['εξαθλίωση', 'μιζέρια', 'κατάντια']","['wretchedness', 'squalor']",E-Radio.gr Blog Ηγουμενίτσα: Δικαστήριο αθώωσε δραπέτες λόγω άθλιων συνθηκών κράτησης,0.43,cds
EL1,αθλιότητα,NOUN,0.62,State,κατάσταση μεγάλης εξαθλίωσης ή ηθικής κατάπτωσης,condition of extreme squalor or moral decline,"['εξαθλίωση', 'ένδεια', 'κακομοιριά', 'βρωμιά']","['squalor', 'wretchedness', 'misery', 'degeneracy']",Γνωστός και ως «ο άγιος των ελληνικών γραμμάτων»… Με ζωή σε… κατάσταση αθλιότητας,0.36,dmc
EL1,αθλιότητα,NOUN,0.62,Behavioral_Trait,Έλλειψη αξιοπρέπειας που χαρακτηρίζει λόγους ή συμπεριφορές,vileness : moral baseness,"['ελεεινότητα', 'απρέπεια', 'χαμέρπεια']","['vileness', 'baseness']","Πώς μπορούσα... Ύστερα από πολλές ώρες, έτσι για κόντρα, στην αθλιότητα που μ' έδερνε, πήρα τηλέφωνο τη Βιργινία.",0.55,dmc
EL1,αθλιότητα,NOUN,0.62,Event,επαίσχυντη πράξη ή λόγος που προσβάλλει,shameful act or utterance that offends,"['αίσχος', 'ντροπή', 'κατακραυγή']","['outrage', 'disgrace', 'shame']",Τσίπρας: Σταματήστε τις αθλιότητες και τα fake news Ζητάει δηλαδή από τους γκεμπελιστες να σταματήσουν να τον λασπολογουν ενώ είναι το πλέον επιτυχημένο όπλο που έφερε τον Μητσοτάκη αυτοδύναμο στην εξουσία,0.58,dmc
EL2113,αισχροκερδής,ADJ,0.7,Person,άτομο που επιδιώκει κέρδος με ανήθικο τρόπο,person seeking profit through immoral means,"['κερδοσκόπος', 'μαυραγορίτης', 'πλεονέκτης', 'αρπακτικό']","['profiteer', 'racketeer', 'greedy', 'predatory']","«Ο επίσκοπος πρέπει να είναι νηφάλιος, επιεικής, όχι αισχροκερδής»",,an
EL2113,αισχροκερδής,ADJ,0.7,Behavioral_Trait,Πρακτική ή σύμβαση που εξασφαλίζει υπερβολικό κέρδος μέσω δόλιας υπερχρέωσης,exploitative practice,"['καταπλεονεκτικός', 'άδικος', 'ληστρικός']","['predatory pricing', 'gouging']",«Σήμερα οι ανακοινώσεις από Μητσοτάκη για τις αισχροκερδείς χρεώσεις των τραπεζών»,,an
EL613,αιχμάλωτος,NOUN,0.31,Person,"άνθρωπος που κρατείται παρά τη θέλησή του, συνήθως σε πόλεμο ή κάποιος που νιώθει δεσμευμένος, υποδουλωμένος σε έντονο συναίσθημα","person held against their will, usually in war","['όμηρος', 'κρατούμενος', 'σκλάβος', 'φυλακισμένος']","['captive', 'prisoner', 'hostage', 'detainee']","username Ε καλά, πώς κάνεις έτσι; Ο δικός σου ρε σφεντόνα κρατούσε αιχμαλώτους 11 εκατομμύρια πολίτες 5+ μήνες, όσο αυτός ψωλοκοπάναγε Ικαρίες, Πάρνηθες κλπ, κ στο τέλος, τους εγκατέλειψε κ σε ναρκοπέδιο, για να βρουν τον δρόμο μόνοι τους.",0.85,ddp
EL55,ακαδημαϊσμός,NOUN,0.26,Behavioral_Trait,λογοτεχνικό ή επιστημονικό ύφος υπερβολικά θεωρητικό και αποξενωμένο από την πράξη,overly theoretical academic style detached from practice,"['σχολαστικισμός', 'ξερόλας', 'διανόηση', 'περίπλοκος λόγος']","['academic pedantry', 'scholasticism', 'bookishness', 'highbrow style']",«Τα Ονειρικά Τραγούδια: Αποθεσμοποίηση και μεταφραστικός ακαδημαϊσμός»,,pa
EL2255,ακάθαρτος,ADJ,0.77,Person,χαρακτηρισμός ατόμου με πολλή βρωμιά ή ηθική μόλυνση,person that is very dirty or morally impure,"['βρόμικος', 'μολυσμένος', 'ρυπαρός', 'αποκρουστικός']","['unclean', 'dirty', 'filthy', 'impure']","Τύπους σαν τον Τζήμερο, στο χωριό τους υποδεχομάστε με μια πατσά, ακάθαρτη, καπέλο.",0.56,dmc
EL2255,ακάθαρτος,ADJ,0.77,Behavioral_Trait,"Πράγμα ή χώρος γεμάτος βρωμιά ή ρύπους, επικίνδυνος για υγεία ή αισθητική",dirty object : item or place heavily soiled,"['βρόμικος χώρος', 'μολυσμένο νερό', 'ρυπαρό οικόπεδο']","['dirty', 'filthy', 'unsanitary', 'unclean']","username Καθαρό, ακάθαρτο νομίζω μικρή σημασία έχει μετά τη χθεσινή νεροποντή που τα ξέπλυνε όλα ????",0.44,dmc
