id	lemma	pos	synset	synset_lemma	synset_category	definition	exam_category	example
BG1652	бавно загряващ човек	noun	[no_synset]	[no_synset_lemma]	 	За човек, който трудно схваща; бавно разбира.	ddp	[Боже мили, не съм виждала толкова бавно загряващ човек като този швед.]
BG1652	бавно загряващ човек	noun	[no_synset]	[no_synset_lemma]	 	За човек, който трудно схваща; бавно разбира.	qas	[Естествено! Какъв бавно загряващ човек... нали съм брокер на недвижими имоти!;Разсъждаваш като бавно загряващ човек.;"Подозирам, че след време ще стана една шаманка, която ще гледа на хората, ще ги лекува с кристали, ще изчислява асценденти... Натам вървят нещата, но вървят с много бавни темпове. Аз съм бавно загряващ човек , така да се изразя", казва самата Цвети.]
BG152	балама	noun	Synset('btbwn-018001636-n')	['ливада', 'наивница', 'наивник', 'балама', 'дивак', 'шаран', 'лапнишаран', 'будала', 'баламурник', 'дивачка', 'диване', 'лапнимуха', 'балък', 'хапльо', 'лековерник', 'баламурница', 'лековерница']	noun.person	Човек, който лесно може да бъде излъган.	dmc	[Бракът на Мара Отварачката е тотален провал (не успя да намери балама, който да я гледа в очите и само да плаща).;А баламите се кефят, че се вършела работа.;Мегз намери нов балама, който да я издържа. Бившата дизайнерка живее с любовника си в Дубай.]
BG224	баласт	noun	[no_synset]	[no_synset_lemma]	 	Прен. Събир. Книж. Съвкупност от подробности, неща, които излишно, безполезно отежняват, удължават или усложняват нещо.	qas	[В Ботев трябва да се освободят от баласта в отбора, за да полетят на Колежа.;А нас оставят тук за баласт. ;И общественият баласт бърза да "регулира" всяко нещо, което може да застраши програмирания в главата му път.]
BG2084	банален	adj	Synset('btbwn-000001947-s')	['прозаичен', 'безинтересен', 'скучен', 'безцветен', 'делничен', 'тривиален', 'банален', 'сив', 'неинтересен']	adj.all	Който не се отличава с нищо особено, интересно, беден на събития, преживявания.	cds	[Отвратително банален си, Кодрингер.;Тоя стана вече банален с тези въпроси, сравнително хитроумно изписани от беквокалите му.]
BG2084	банален	adj	Synset('btbwn-000001947-s')	['прозаичен', 'безинтересен', 'скучен', 'безцветен', 'делничен', 'тривиален', 'банален', 'сив', 'неинтересен']	adj.all	Който не се отличава с нищо особено, интересно, беден на събития, преживявания.	qas	[Който си мисли, че Радев не е подслушван, следен и разголен през цялото време, е банален глупак.;Кух, банален и злобен човек, лъгал и изоставил семейството си.]
BG350	банда	noun	Synset('btbwn-014000222-n')	['шайка', 'тайфа', 'банда']	noun.group	Група от хора, обикновено злосторници, обществено зловредни, с лош характер и лоши прояви, които извършват нападения, грабежи и подобни.	qas	[Това бе банда нехранимайковци, дрехите им бяха в плачевно състояние, а тримата от тях бяха толкова слаби, че най-вероятно не им се случваше да се хранят редовно.;Банда нещастници, които веднъж сте наследници на БКП, а друг път не.;Като се замисля, каква банда глупаци са и ми става смешно.]
BG350	банда	noun	Synset('btbwn-014000222-n')	['шайка', 'тайфа', 'банда']	noun.group	Група от хора, обикновено злосторници, обществено зловредни, с лош характер и лоши прояви, които извършват нападения, грабежи и подобни.	re	[Все едно там са банда идиоти и всеки се стреми да обиди другия, уж, че защитаваме нещо.;Но бяха щастливи с труда си; не жалеха сили и работеха жертвоготовно, защото добре съзнаваха, че всичко, което правят, е за самите тях и за себеподобните им, които ще ги наследят, а не за банда лениви и крадливи човеци.;Получи го, след като видя как последните престъпления на престъпната банда от алчни партийни хиени превърнаха народа и децата ви във вечни техни и чужди финансови длъжници и икономически роби.]
BG1241	бандит	noun	Synset('btbwn-018000768-n')	['мафиот', 'мутра', 'разбойница', 'гангстер', 'бандит', 'разбойник', 'разбойничка', 'гангстерка', 'бандитка', 'шайкаджия', 'бандюга', 'шайкаджийка']	noun.person	Участник в банда, която извършва дръзки грабежи, убийства, изнудвания, упражнява политически терор и други.	dmc	[Уличен бандит преби и ограби поетесата Надя Попова, главен редактор на вестник „Словото днес”.;САЩ няма да позволят тези сатрапски и крадливи диктатори да превърнат Венецуела в тлеещ пожар в Южна Америка, от който руските бандити и иранските аятоласи да късат живо месо.;Слави, ГЕРБ и останалите бандити могат да бъдат изгонени, въпреки че се наместиха и вече делят баницата и ви гласят въжетата да се самообесите.;През последните 11 години мафията, под командата на един селски бандит, постигна следното за България:...]
BG1241	бандит	noun	Synset('btbwn-018000768-n')	['мафиот', 'мутра', 'разбойница', 'гангстер', 'бандит', 'разбойник', 'разбойничка', 'гангстерка', 'бандитка', 'шайкаджия', 'бандюга', 'шайкаджийка']	noun.person	Участник в банда, която извършва дръзки грабежи, убийства, изнудвания, упражнява политически терор и други.	cds	[Докъде ни докара този селски бандит.;У нас се употребява за сборища на курви, бандити и дебили.]
BG2424	барака	noun	Synset('btbwn-006001455-n')	['барака']	noun.artifact	Лека дъсчена постройка за временно използване, обикновено за съхранение на нещо.	rci	[Невероятна гледка на входа на Велико Търново, това сметище за гуми седи от години да не говорим за тази долнопробна барака наречена сервиз за гуми.;Повечето са пълни бараки и струват доста повече от "нормалния" аналог на същата марка.;Накой карал ли е тази барака със седем човека и багаж?]
BG200	бардак	noun	[no_synset]	[no_synset_lemma]	 	Разг. Пренебр. Публичен дом.	rci	[Тези предмети създават визуален бардак в дома ви!;Докато има такива като теб, дето смятат,  че "премиер" и "министър-председател" са различни неща, не чалгарница ще бъдем, ами направо бардак.]
BG200	бардак	noun	[no_synset]	[no_synset_lemma]	 	Разг. Пренебр. Публичен дом.	pr	[Може да жевее в бардак 7х7, но ще се изтъпани с Ауди А7 да каже "Вижте ме кой съм аз".]
BG263	барон	noun	[no_synset]	[no_synset_lemma]	 	За сиромах човек, който се големее.	is	[Не е ромски барон, ако няма райграс и фонтан в двора и къща на няколко ката.;Реално те са купени и само манипулират обществото да гласува за един или друг барон на мафията!;В Перник първо питат Кокаиновите Барони и тогава полицейския патрул тръгва по сигнал, там престъпниците се делят на две - удобни и неудобни!]
BG2100	бебе	noun	Synset('btbwn-018001811-n')	['дете', 'бебе', 'бебенце', 'детенце', 'бебче']	noun.person	Възрастен човек, който се държи, постъпва незряло, неразумно, детински.	cds	[Защото сестра ти е единственият човек, който няма веднага да ти се подиграе, че плачеш като бебе по тази любовна история, обхващаща годините.;Аз предпочитам Иван, защото Андрей се държи като бебе, а Иван ми е по-симпатичен и ми се вижда по-улегнал.;Иван се държи като ревливо бебе.]
BG2100	бебе	noun	Synset('btbwn-018001811-n')	['дете', 'бебе', 'бебенце', 'детенце', 'бебче']	noun.person	Възрастен човек, който се държи, постъпва незряло, неразумно, детински.	is	[Когато “мъжът” във връзката се окаже едно голямо бебе, жената поема неговата роля.;Прилича на голямо бебе – образът му е далеч от този на църковен служител.;Героят ми е едно голямо бебе, което желае проектът му да се осъществи, и плаче всеки път, когато нещата не станат така, както ги иска.]
BG2257	беден	adj	[no_synset]	[no_synset_lemma]	 	Прен. Който няма големи възможности или ценни качества, който не се отличава с голямо разнообразие, широта; ограничен.	is	[Гледайте и ревете...долни дребни, бедни души!;Те искрено смятат, че българите са изостанали, невежи, бедни идиоти.;Въображението на този автор е толкова бедно, че още от самото начало на книгата предвиждам края й.]
BG2110	бедняк	noun	Synset('btbwn-018001102-n')	['бедняк', 'сиромах', 'голтак', 'голотия', 'беднячка', 'сиромахкиня', 'безсребърник', 'безсребърница', 'босяк', 'голчо', 'фукара', 'голтачка', 'босячка']	noun.person	Човек с много ограничени, с недостатъчни материални средства.	is	[И всичко това го караше още повече да прилича на болен от треска златотърсач, на побъркан иманяр, на нищожен и жалък бедняк, който ще прекара целия си живот в търсене на средство да спечели пари, без да постигне нищо. ;Златка Райкова захапа сериозно Благо, нарече го бедняк.;После ще ни втълпяват, че сме бедняци и диваци.]
BG1474	бездействие	noun	Synset('btbwn-007000015-n')	['бездействие', 'инерция', 'недеятелност', 'бездейност', 'бездейственост']	noun.attribute	Качество на инертен, бездеен, липса на дейност, активност, енергичност.	dmc	[Освен тези обяснения за престъпно човешко бездействие в жизненоважни случаи има още нещо, което е и една от причините да напиша тази книга.;70 години след своето създаване, ООН проспа в пълно бездействие разрастването на Ислямска държава.;Моди е обвиняван в подкрепа за хиндуистите или поне в мълчаливо бездействие.]
BG1135	безделие	noun	Synset('btbwn-026000658-n')	['мързел', 'леност', 'безделие', 'лентяйство', 'мързелуване', 'дембелък', 'безделничене', 'дембелуване', 'безделничество', 'хайлазлък', 'хайлазуване']	noun.state	Състояние, в което не се върши нищо, начин на живот, присъщ на лентяй.	dmc	[Един човек, който живее в безделие - мисли зло и мързелът го погубва.;Баща, който в безделие се излежава на дивана пред телевизора с бутилка алкохол в ръка.;Леността, безделието, мързелът са ги изяли!]
BG566	безделник	noun	Synset('btbwn-018000914-n')	['мързел', 'мързеливец', 'мързеливка', 'мързелан', 'мързеланко', 'мързелана', 'мързеланка', 'безделник', 'ленивец', 'ленивка', 'лентяй', 'лентяйка', 'лежач', 'хайлазин', 'канапчия', 'дембел', 'хайлаз', 'хългъзник', 'дембелин', 'лентьо', 'мръзльо', 'мръзла']	noun.person	Мързелив, ленив човек.	cds	[Ива Екимова: Извратен безделник ме изнудва, плаши да пусне скандално видео в Интернет.;Такава армия от безделници няма в нито една държава.;Ти си един безработен безделник от провинцията, който поради неграмотността си не може да си намери работа.]
BG566	безделник	noun	Synset('btbwn-018000914-n')	['мързел', 'мързеливец', 'мързеливка', 'мързелан', 'мързеланко', 'мързелана', 'мързеланка', 'безделник', 'ленивец', 'ленивка', 'лентяй', 'лентяйка', 'лежач', 'хайлазин', 'канапчия', 'дембел', 'хайлаз', 'хългъзник', 'дембелин', 'лентьо', 'мръзльо', 'мръзла']	noun.person	Мързелив, ленив човек.	dmc	[Него го знаят, че е безделник, няма в какво да го подозират.;Та айде да не се правят на големи радетели за природата, че доста от тях и познавам, най-често безработни безделници и пияници опитвайки се винаги да изнудят някой.]
BG608	бездомник	noun	Synset('btbwn-018001713-n')	['бездомник', 'бездомница', 'клошар', 'клошарка', 'скитник', 'скитница', 'бродяга', 'босяк', 'босячка', 'безкъщник', 'безкъщница']	noun.person	Човек, който няма дом, подслон.	is	[Хората тук изглеждат като бездомници.;Толкова си се занемарил, че приличаш на бездомник! Не те е ли е срам?]
BG1236	безполезност	noun	Synset('btbwn-007000505-n')	['безполезност']	noun.attribute	Качество на такъв, който не е полезен, не допринася с някакви ползи.	dmc	[Нима някой смята, че Трифонов прави нещо друго освен да се опитва да прехвърля отговорността за собствената си политическа безполезност?]
BG1588	безпорядък	noun	Synset('btbwn-026000431-n')	['безредие', 'безпорядък', 'бъркотия', 'безредица', 'неразбория', 'неподреденост', 'хаос', 'какофония', 'галиматия', 'галимация', 'батак', 'каша', 'миш-маш', 'безреда']	noun.state	Отсъствие, липса на ред някъде или в нещо.	qas	[Ако някой продължи да поддържа домакинството късно през нощта, хората приемали, че къщата й е в пълен безпорядък.;От елегантната му прическа не бе останало нищо – през изминалите месеци косата му беше избуяла като трева и сега се къдреше около врата му в гаменски безпорядък.;Животът ти е пълен безпорядък - нямаш работа, родителите ти те издържат, а любовният ти живот е провал.]
BG2246	безразсъден	adj	Synset('btbwn-000000283-s')	['лудешки', 'необмислен', 'неразумен', 'безразсъден', 'безумен', 'сляп']	adj.all	Който не проявява разум, благоразумие, в който не се влага разум.	dmc	[И все пак, тези места не са убежище за неканени гости — само някое безразсъдно същество би предположило обратното.;Това явление се въртеше около безразсъден политик, който се изстреля до известност, като отправяше скандални твърдения за нелоялност и подривна дейност.;Укоряваха и безразсъдната наследница, която се мислеше за хубава, кичеше се с коприна и пера, криеше под гердани късия си врат и бе успяла да се омъжи само заради парите си.]
BG321	безредие	noun	Synset('btbwn-026000431-n')	['безредие', 'безпорядък', 'бъркотия', 'безредица', 'неразбория', 'неподреденост', 'хаос', 'какофония', 'галиматия', 'галимация', 'батак', 'каша', 'миш-маш', 'безреда']	noun.state	Отсъствие, липса на ред някъде или в нещо.	qas	[Техните съюзници у нас – силите на старото безредие, тепърва започват да истеризират, тепърва ще ги чуваме.;Често в това преодоляване на бурята, на хаоса вън от нас и вътре в нас, се крие както драмата, така и радостта от мъчителното ни измъкване от жестокостите на историята и настоящото безредие.;Марина прощаваше на доктора странните му навици, капризите на падналия и осъзнаващ падението си човек, мръсотията и безредието , което цареше при него.;Как можеш да живееш в такова безредие и хаос?]
BG1459	безсмислен	adj	Synset('btbwn-000002404-s')	['ненужен', 'безцелен', 'неоснователен', 'безпредметен', 'безполезен', 'излишен', 'безсмислен', 'напразен']	adj.all	Който няма смисъл, който е лишен от разумно основание.	qas	[Тия живеят безсмислен живот - бачкане за 800 - 1000 лв, спане, пиене на ракия и ядене на сланина, салата с много оцет и пържени картофи.;Стига депресантщини, според мене авторът трябва да се чувства щастлив, ако доживее до такава възраст и между другото трябва да е имал ебати бездарния и безсмислен живот, ако допусне последните му години да минат по този рехав начин.;Коментарът ти беше абсолютно излишен и безсмислен.]
BG1235	безсмислие	noun	Synset('btbwn-011000324-n')	['безсмислие', 'недомислие', 'нелепост', 'безсмислица', 'идиотщина', 'щуротия', 'абсурд', 'абсурдност', 'нелепица']	noun.event	Нещо, което напълно противоречи на логиката, на здравия смисъл, което е нелогично, неразумно, неправилно.	qas	[За да изпаднат толкова много избиратели в такова безсмислие спрямо механизмите на демокрацията, то виновни за това са ония, които са призвани да създават този смисъл - политиците.;Всяко нещо, което говори е пропито от безсмислие. Не знам кой му е дал думата.]
BG1458	безсмислица	noun	Synset('btbwn-011000324-n')	['безсмислие', 'недомислие', 'нелепост', 'безсмислица', 'идиотщина', 'щуротия', 'абсурд', 'абсурдност', 'нелепица']	noun.event	Нещо, което напълно противоречи на логиката, на здравия смисъл, което е нелогично, неразумно, неправилно.	qas	[Готиното е, че понякога, без дори да го съзнават, покрай редовните глупости и безсмислици, някои хора казват и много важни и вдъхновяващи неща.;Само преписват и повтарят като някакви папагали, ами и това правят с безброй грешки, създавайки трагикомични безсмислици!]
BG2242	безумие	noun	Synset('btbwn-007000264-n')	['безразсъдство', 'безумие', 'безумство', 'безразсъдност']	noun.attribute	Липса на здрав разум.	ddp	[– Опитвали ли сте са да правите преврат? Носили ли сте запалителни вещества по протестите? – Тази спекулация още на летните брифинги на МВР, тези внушения са абсолютно безумие.;Пълно безумие цари в хранителната верига. Баба ми женицата цял живот си садеше и береше и се хранеше с "еко" храни, сега няма села - всичко се затри - циганите опоскоха цяла Странджа.]
BG702	беладжия	noun	Synset('btbwn-018001247-n')	['негодница', 'негодник', 'леке', 'келеш', 'калпазанин', 'хубостница', 'вагабонтин', 'негодяй', 'хаирсъзин', 'кучи син', 'вагабонтка', 'хубостник', 'пезевенк', 'келеме', 'какаванин', 'калпазанка', 'кучешки син', 'песи син', 'магарски син', 'магарешки син', 'вагабонт', 'багабонтин', 'багабонт', 'сукин син']	noun.person	Човек, който върши подлости, постъпва нечестно, неморално, безнравствено.  /Някой, който прави бели./	qas	[Завършва като отличник, но като малък бил голям беляджия.;Големи "законотворци", големи беляджии.;Ганчо беше роден беляджия, дребен, с черни лукави очи, вечно засмян образ.]
BG2274	бесен	adj	Synset('btbwn-000000099-s')	['яростен', 'бесен', 'разярен', 'разлютен', 'ядосан']	adj.all	Който е обхванат от силна, неудържима ярост, гняв, омраза.	ddp	[Опитен стрелец, бесен психопат и некадърник, който се опитва да прикрие трупа.;Ако репутацията на онази бясна кучка беше поне наполовина вярна, то Синчето щеше до седмица да се е отървал от ходещия си кошмар.;Йончева е озлобена, незадоволена, бясна жена , ядосана бабичка, която не в Европа, ами и в политиката въобще няма място.]
BG507	бизнесдама	noun	Synset('btbwn-018000445-n')	['бизнесмен', 'бизнесдама', 'бизнесменка', 'бизнес дама']	noun.person	Лице със собствен бизнес, управлява чужд бизнес или е представител на висшия мениджмънт в дадена фирма.	qas	[Тя е една психически нестабилна, жена със съмнителна репутация. Не по-коректна в професионалния и личен живот! Прави се на бизнесдама , а всъщност само влачи някакви объркани италиянци, за да правят бизнес тука, а накрая нищо!;Поредната "бизнесдама", която се е издигнала от нищо и е забогатяла. ;Казват, че преди две години в БНТ отишла една "заможна бизнесдама" на средна възраст, която "казват" била безумно влюбена в това момиче, което пък знаем мина през няколко музикални формата с неособено големи успехи, и тази бизнесдама обещала да плати целия "масраф" по участието на България в Евровизия 2020, ако БНТ кандиса да изпрати същото това момиче като представител на държавата.]
BG393	бизнесмагнат	noun	[no_synset]	[no_synset_lemma]	 	Капиталист, който има голямо влияние, власт и богатство.	qas	[Бизнесмагнат, отдавна издирван от правителството на Китай и известен с това, че е изградил връзки с хора от администрацията на Тръмп, включително със Стив Банън, беше арестуван вчера в Ню Йорк по обвинение, че е ръководил заговор за измама на стойност 1 милиард долара, предаде Асошиейтед прес.;В повечето си публични речи от 2014 г. насам, първата от които е пo време на посещението му в университета "Цинхуа" в Пекин, Марк Зукърбърг, създателят на Facebook, демонстрира отдаденост към научаването на мандарин Джак, бившият учител по английски език, преобразил се в бизнесмагнат , вдъхновява и запленява аудитории на конференции по цял свят през последните повече от седемнайсет години, като говори и на английски, и на китайски.;Един мултимилиардер, неудовлетворен от кариерата си на "обикновен бизнесмагнат", преди години създаде медийна компания.]
